Sport,Year,Sex,Athletes,Bronze,Silver,Gold,No Win,Attempts,Wins
Aeronautics,1936,M,1,0,0,1,0,1,1
Alpine Skiing,1936,F,37,1,1,1,34,37,3
Alpine Skiing,1936,M,66,1,1,1,63,66,3
Alpine Skiing,1948,F,40,3,3,3,84,93,9
Alpine Skiing,1948,M,127,4,3,3,257,267,10
Alpine Skiing,1952,F,52,3,3,3,118,127,9
Alpine Skiing,1952,M,114,3,3,3,242,251,9
Alpine Skiing,1956,F,59,3,3,3,135,144,9
Alpine Skiing,1956,M,124,3,3,3,250,259,9
Alpine Skiing,1960,F,51,3,3,3,120,129,9
Alpine Skiing,1960,M,82,3,3,3,182,191,9
Alpine Skiing,1964,F,55,2,4,3,126,135,9
Alpine Skiing,1964,M,119,3,3,3,267,276,9
Alpine Skiing,1968,F,55,3,3,3,126,135,9
Alpine Skiing,1968,M,136,3,3,3,278,287,9
Alpine Skiing,1972,F,50,3,3,3,116,125,9
Alpine Skiing,1972,M,93,3,3,3,191,200,9
Alpine Skiing,1976,F,56,3,3,3,116,125,9
Alpine Skiing,1976,M,125,3,3,3,256,265,9
Alpine Skiing,1980,F,66,3,3,3,114,123,9
Alpine Skiing,1980,M,108,3,3,3,195,204,9
Alpine Skiing,1984,F,76,3,3,3,122,131,9
Alpine Skiing,1984,M,149,3,3,3,261,270,9
Alpine Skiing,1988,F,95,5,5,5,226,241,15
Alpine Skiing,1988,M,177,5,5,5,412,427,15
Alpine Skiing,1992,F,111,4,6,5,246,261,15
Alpine Skiing,1992,M,210,5,5,5,474,489,15
Alpine Skiing,1994,F,110,5,5,5,231,246,15
Alpine Skiing,1994,M,140,5,5,5,283,298,15
Alpine Skiing,1998,F,108,5,5,5,209,224,15
Alpine Skiing,1998,M,141,4,6,5,238,253,15
Alpine Skiing,2002,F,121,5,5,5,233,248,15
Alpine Skiing,2002,M,157,5,5,5,296,311,15
Alpine Skiing,2006,F,119,5,5,5,252,267,15
Alpine Skiing,2006,M,168,5,5,5,337,352,15
Alpine Skiing,2010,F,133,5,5,5,289,304,15
Alpine Skiing,2010,M,176,5,5,5,366,381,15
Alpine Skiing,2014,F,130,5,4,6,288,303,15
Alpine Skiing,2014,M,184,6,5,5,368,384,16
Alpinism,1924,M,21,0,0,21,0,21,21
Alpinism,1932,M,2,0,0,2,0,2,2
Alpinism,1936,F,1,0,0,1,0,1,1
Alpinism,1936,M,1,0,0,1,0,1,1
Archery,1900,M,23,5,8,7,12,32,20
Archery,1904,F,6,2,2,6,6,16,10
Archery,1904,M,23,6,6,6,36,54,18
Archery,1908,F,25,1,1,1,22,25,3
Archery,1908,M,32,2,2,2,46,52,6
Archery,1920,M,30,10,29,41,6,86,80
Archery,1972,F,40,1,1,1,37,40,3
Archery,1972,M,55,1,1,1,52,55,3
Archery,1976,F,27,1,1,1,24,27,3
Archery,1976,M,37,1,1,1,34,37,3
Archery,1980,F,29,1,1,1,26,29,3
Archery,1980,M,38,1,1,1,35,38,3
Archery,1984,F,47,1,1,1,44,47,3
Archery,1984,M,62,1,1,1,59,62,3
Archery,1988,F,62,4,4,4,95,107,12
Archery,1988,M,84,4,4,4,138,150,12
Archery,1992,F,61,4,4,4,100,112,12
Archery,1992,M,75,4,4,4,123,135,12
Archery,1996,F,64,4,4,4,97,109,12
Archery,1996,M,64,4,4,4,97,109,12
Archery,2000,F,64,4,4,4,88,100,12
Archery,2000,M,64,4,4,4,94,106,12
Archery,2004,F,64,4,4,4,97,109,12
Archery,2004,M,64,4,4,4,91,103,12
Archery,2008,F,64,4,4,4,82,94,12
Archery,2008,M,64,4,4,4,88,100,12
Archery,2012,F,64,4,4,4,88,100,12
Archery,2012,M,64,4,4,4,88,100,12
Archery,2016,F,64,4,4,4,88,100,12
Archery,2016,M,64,4,4,4,88,100,12
Art Competitions,1912,M,33,0,1,6,26,33,7
Art Competitions,1920,F,1,0,1,0,0,1,1
Art Competitions,1920,M,10,3,4,3,0,10,10
Art Competitions,1924,F,21,0,1,0,32,33,1
Art Competitions,1924,M,168,6,5,3,271,285,14
Art Competitions,1928,F,38,2,1,0,52,55,3
Art Competitions,1928,M,332,9,9,9,726,753,27
Art Competitions,1932,F,75,0,2,0,156,158,2
Art Competitions,1932,M,513,6,7,10,943,966,23
Art Competitions,1936,F,31,0,0,0,52,52,0
Art Competitions,1936,M,496,12,13,10,726,761,35
Art Competitions,1948,F,53,3,0,1,74,78,4
Art Competitions,1948,M,277,10,12,7,364,393,29
Athletics,1896,M,63,12,13,12,69,106,37
Athletics,1900,M,119,22,27,27,158,234,76
Athletics,1904,M,116,23,28,28,122,201,79
Athletics,1906,M,233,21,23,21,405,470,65
Athletics,1908,M,431,33,34,34,677,778,101
Athletics,1912,M,534,42,48,53,819,962,143
Athletics,1920,M,509,44,45,44,716,849,133
Athletics,1924,M,659,43,43,43,874,1003,129
Athletics,1928,F,95,8,8,8,105,129,24
Athletics,1928,M,611,28,28,28,779,863,84
Athletics,1932,F,54,9,9,9,53,80,27
Athletics,1932,M,332,29,29,29,355,442,87
Athletics,1936,F,98,9,9,9,107,134,27
Athletics,1936,M,678,29,29,29,786,873,87
Athletics,1948,F,144,12,12,12,200,236,36
Athletics,1948,M,600,30,30,30,724,814,90
Athletics,1952,F,186,12,12,12,262,298,36
Athletics,1952,M,776,30,30,30,954,1044,90
Athletics,1956,F,145,11,13,12,177,213,36
Athletics,1956,M,571,31,31,30,701,793,92
Athletics,1960,F,204,12,14,13,231,270,39
Athletics,1960,M,812,30,30,30,952,1042,90
Athletics,1964,F,236,15,15,15,298,343,45
Athletics,1964,M,782,30,30,30,902,992,90
Athletics,1968,F,243,15,15,15,309,354,45
Athletics,1968,M,785,30,30,30,899,989,90
Athletics,1972,F,369,20,20,20,446,506,60
Athletics,1972,M,958,30,30,30,1085,1175,90
Athletics,1976,F,302,20,20,20,358,418,60
Athletics,1976,M,703,29,29,29,791,878,87
Athletics,1980,F,266,20,20,22,312,374,62
Athletics,1980,M,694,29,31,31,803,894,91
Athletics,1984,F,385,26,24,25,432,507,75
Athletics,1984,M,895,31,31,32,1073,1167,94
Athletics,1988,F,555,25,26,26,661,738,77
Athletics,1988,M,1063,33,33,32,1226,1324,98
Athletics,1992,F,622,25,27,28,679,759,80
Athletics,1992,M,1104,34,31,33,1197,1295,98
Athletics,1996,F,754,28,27,28,812,895,83
Athletics,1996,M,1301,32,33,32,1392,1489,97
Athletics,2000,F,880,31,32,29,939,1031,92
Athletics,2000,M,1257,31,33,34,1339,1437,98
Athletics,2004,F,915,28,30,30,912,1000,88
Athletics,2004,M,1078,30,30,32,1081,1173,92
Athletics,2008,F,973,30,32,30,975,1067,92
Athletics,2008,M,1081,30,32,33,1080,1175,95
Athletics,2012,F,990,30,33,33,1000,1096,96
Athletics,2012,M,1087,32,31,31,1086,1180,94
Athletics,2016,F,1083,30,33,32,1112,1207,95
Athletics,2016,M,1184,32,31,34,1202,1299,97
Badminton,1992,F,83,6,3,3,97,109,12
Badminton,1992,M,91,6,3,3,100,112,12
Badminton,1996,F,95,4,4,4,120,132,12
Badminton,1996,M,96,4,4,4,118,130,12
Badminton,2000,F,85,4,4,4,107,119,12
Badminton,2000,M,86,4,4,4,94,106,12
Badminton,2004,F,81,4,4,4,87,99,12
Badminton,2004,M,88,4,4,4,86,98,12
Badminton,2008,F,83,4,4,4,79,91,12
Badminton,2008,M,85,4,4,4,75,87,12
Badminton,2012,F,83,4,4,4,79,91,12
Badminton,2012,M,85,4,4,4,75,87,12
Badminton,2016,F,85,4,4,4,75,87,12
Badminton,2016,M,85,4,4,4,76,88,12
Baseball,1992,M,160,20,20,20,100,160,60
Baseball,1996,M,160,20,20,20,100,160,60
Baseball,2000,M,192,24,24,24,120,192,72
Baseball,2004,M,191,24,24,24,119,191,72
Baseball,2008,M,191,24,24,24,119,191,72
Basketball,1936,M,199,11,9,14,165,199,34
Basketball,1948,M,287,10,14,14,249,287,38
Basketball,1952,M,294,12,14,14,254,294,40
Basketball,1956,M,159,12,12,12,123,159,36
Basketball,1960,M,192,12,12,12,156,192,36
Basketball,1964,M,189,12,12,12,153,189,36
Basketball,1968,M,191,12,12,12,155,191,36
Basketball,1972,M,190,12,12,12,154,190,36
Basketball,1976,F,72,12,12,12,36,72,36
Basketball,1976,M,141,12,12,12,105,141,36
Basketball,1980,F,72,12,12,12,36,72,36
Basketball,1980,M,143,12,12,12,107,143,36
Basketball,1984,F,71,12,11,12,36,71,35
Basketball,1984,M,142,12,12,12,106,142,36
Basketball,1988,F,93,12,12,12,57,93,36
Basketball,1988,M,143,12,12,12,107,143,36
Basketball,1992,F,94,12,11,12,59,94,35
Basketball,1992,M,142,12,12,12,106,142,36
Basketball,1996,F,143,12,12,12,107,143,36
Basketball,1996,M,141,11,12,12,106,141,35
Basketball,2000,F,142,12,12,11,107,142,35
Basketball,2000,M,144,12,12,12,108,144,36
Basketball,2004,F,143,12,12,12,107,143,36
Basketball,2004,M,144,12,12,12,108,144,36
Basketball,2008,F,143,12,12,12,107,143,36
Basketball,2008,M,144,12,12,12,108,144,36
Basketball,2012,F,143,12,12,12,107,143,36
Basketball,2012,M,144,12,12,12,108,144,36
Basketball,2016,F,140,12,12,12,104,140,36
Basketball,2016,M,141,12,12,12,105,141,36
Basque Pelota,1900,M,2,0,0,2,0,2,2
Beach Volleyball,1996,F,36,2,2,2,30,36,6
Beach Volleyball,1996,M,48,2,2,2,42,48,6
Beach Volleyball,2000,F,48,2,2,2,42,48,6
Beach Volleyball,2000,M,48,2,2,2,42,48,6
Beach Volleyball,2004,F,48,2,2,2,42,48,6
Beach Volleyball,2004,M,48,2,2,2,42,48,6
Beach Volleyball,2008,F,48,2,2,2,42,48,6
Beach Volleyball,2008,M,48,2,2,2,42,48,6
Beach Volleyball,2012,F,48,2,2,2,42,48,6
Beach Volleyball,2012,M,48,2,2,2,42,48,6
Beach Volleyball,2016,F,48,2,2,2,42,48,6
Beach Volleyball,2016,M,48,2,2,2,42,48,6
Biathlon,1960,M,30,1,1,1,27,30,3
Biathlon,1964,M,51,1,1,1,48,51,3
Biathlon,1968,M,72,5,5,5,101,116,15
Biathlon,1972,M,62,5,5,5,91,106,15
Biathlon,1976,M,74,5,5,5,97,112,15
Biathlon,1980,M,76,6,6,6,141,159,18
Biathlon,1984,M,95,6,6,6,177,195,18
Biathlon,1988,M,90,6,6,6,189,207,18
Biathlon,1992,F,80,5,5,5,170,185,15
Biathlon,1992,M,116,6,6,6,254,272,18
Biathlon,1994,F,94,6,6,6,188,206,18
Biathlon,1994,M,99,6,6,6,192,210,18
Biathlon,1998,F,87,6,6,6,178,196,18
Biathlon,1998,M,96,6,6,6,199,217,18
Biathlon,2002,F,88,7,7,7,236,257,21
Biathlon,2002,M,102,7,7,7,286,307,21
Biathlon,2006,F,97,8,8,8,301,325,24
Biathlon,2006,M,107,8,8,8,309,333,24
Biathlon,2010,F,99,8,8,8,317,341,24
Biathlon,2010,M,105,7,9,8,318,342,24
Biathlon,2014,F,99,10,10,10,323,353,30
Biathlon,2014,M,105,10,10,10,343,373,30
Bobsleigh,1924,M,39,5,4,4,26,39,13
Bobsleigh,1928,M,116,5,5,5,101,116,15
Bobsleigh,1932,M,41,6,6,6,34,52,18
Bobsleigh,1936,M,95,6,6,6,100,118,18
Bobsleigh,1948,M,71,6,6,6,74,92,18
Bobsleigh,1952,M,70,6,6,6,78,96,18
Bobsleigh,1956,M,101,6,6,6,117,135,18
Bobsleigh,1964,M,81,6,6,6,99,117,18
Bobsleigh,1968,M,90,6,6,6,102,120,18
Bobsleigh,1972,M,79,6,6,6,96,114,18
Bobsleigh,1976,M,92,6,6,6,115,133,18
Bobsleigh,1980,M,78,6,6,6,90,108,18
Bobsleigh,1984,M,111,6,6,6,134,152,18
Bobsleigh,1988,M,135,6,6,6,168,186,18
Bobsleigh,1992,M,159,6,6,6,198,216,18
Bobsleigh,1994,M,155,6,6,6,189,207,18
Bobsleigh,1998,M,156,10,4,8,182,204,22
Bobsleigh,2002,F,30,2,2,2,24,30,6
Bobsleigh,2002,M,165,6,6,6,192,210,18
Bobsleigh,2006,F,32,2,2,2,26,32,6
Bobsleigh,2006,M,118,6,6,6,141,159,18
Bobsleigh,2010,F,42,2,2,2,36,42,6
Bobsleigh,2010,M,117,6,6,6,139,157,18
Bobsleigh,2014,F,39,2,2,2,33,39,6
Bobsleigh,2014,M,133,6,6,6,166,184,18
Boxing,1904,M,18,4,7,7,6,24,18
Boxing,1908,M,42,5,5,5,27,42,15
Boxing,1920,M,116,8,8,8,92,116,24
Boxing,1924,M,181,8,8,8,157,181,24
Boxing,1928,M,144,8,8,8,120,144,24
Boxing,1932,M,85,8,8,8,61,85,24
Boxing,1936,M,179,8,8,8,155,179,24
Boxing,1948,M,205,8,8,8,181,205,24
Boxing,1952,M,249,20,10,10,209,249,40
Boxing,1956,M,161,20,10,10,121,161,40
Boxing,1960,M,281,20,10,10,241,281,40
Boxing,1964,M,269,20,10,10,229,269,40
Boxing,1968,M,307,22,11,11,263,307,44
Boxing,1972,M,353,22,11,11,309,353,44
Boxing,1976,M,266,22,11,11,222,266,44
Boxing,1980,M,271,22,11,11,227,271,44
Boxing,1984,M,354,24,12,12,306,354,48
Boxing,1988,M,432,24,12,12,384,432,48
Boxing,1992,M,336,24,12,12,288,336,48
Boxing,1996,M,355,24,12,12,307,355,48
Boxing,2000,M,307,24,12,12,259,307,48
Boxing,2004,M,280,22,11,11,236,280,44
